id,plant_id,height,height_unit,wide,wide_unit,leaf_color
61,61,3,Meter,300,Centimeter,Red
62,62,2,Meter,1,Meter,Green
63,63,600,Centimeter,900,Centimeter,Green
64,64,400,Centimeter,300,Centimeter,Green
65,65,200,Centimeter,300,Centimeter,Green
66,66,1200,Centimeter,600,Centimeter,Green
67,67,2,Meter,1,Meter,Green
68,68,500,Centimeter,300,Centimeter,Green
69,69,150,Centimeter,75,Centimeter,Green
75,75,500,Centimeter,400,Centimeter,Green
76,76,45,Centimeter,40,Centimeter,Green
77,77,100,Centimeter,30,Centimeter,Green
78,78,6,Meter,4,Meter,Green
79,79,20,Meter,8,Meter,Green
80,80,60,Centimeter,40,Centimeter,Green
81,81,1,Centimeter,1,Centimeter,Yellow
85,85,1,Centimeter,1,Centimeter,Yellow
86,86,1,Meter,4,Centimeter,Green
87,87,1,Centimeter,1,Centimeter,Yellow
