id,plant_id,question,answer,created_at,updated_at
76,61,<p><em>Mau tanya apa</em></p>,<p><em><u>Ya gatauu?</u></em></p>,2024-06-17 08:00:05.709,2024-06-17 08:00:05.709
77,62,<p>Recommendation for fertilizer types and amounts based on user preference and plant type?</p>,<p>Use a balanced 10-10-10 fertilizer at planting time and switch to a low-nitrogen fertilizer (5-10-10) once fruits begin to form.&nbsp;&nbsp;</p>,2024-06-18 02:19:10.655,2024-06-18 02:19:10.655
78,62,<p>Recommendation for safe pest control to address plant pest issues?</p>,<p>Use neem oil or insecticidal soap to manage common pests like aphids and whiteflies.&nbsp;&nbsp;</p>,2024-06-18 02:19:10.655,2024-06-18 02:19:10.655
79,62,<p>How to improve tomato flavor?</p>,"<p>Provide ample sunlight, avoid over-fertilization with nitrogen, and allow tomatoes to fully ripen on the vine.</p>",2024-06-18 02:19:10.655,2024-06-18 02:19:10.655
80,62,<p>How to prevent blossom end rot in tomatoes?</p>,<p>Blossom end rot is caused by calcium deficiency or inconsistent watering. Ensure soil calcium levels are adequate and maintain even moisture levels.</p>,2024-06-18 02:19:10.655,2024-06-18 02:19:10.655
81,63,<p>Recommendation for fertilizer types and amounts based on user preference and plant type?</p>,"<p>Use a slow-release fertilizer with a higher ratio of phosphorus (e.g., 5-10-5) to encourage blooming.&nbsp;&nbsp;</p>",2024-06-18 02:38:23.623,2024-06-18 02:38:23.623
82,63,<p>Recommendation for safe pest control to address plant pest issues?</p>,<p>Introduce beneficial insects like ladybugs to control aphids. Use horticultural oil for scale insects.&nbsp;&nbsp;</p>,2024-06-18 02:38:23.623,2024-06-18 02:38:23.623
83,63,<p>Can lavender be grown indoors?</p>,<p>Lavender can be grown indoors in containers with adequate sunlight and well draining soil.</p>,2024-06-18 02:38:23.623,2024-06-18 02:38:23.623
84,63,<p>How often should lavender be pruned?</p>,<p>Lavender should be lightly pruned after flowering to maintain shape and promote new growth.</p>,2024-06-18 02:38:23.623,2024-06-18 02:38:23.623
85,64,<p>Recommendation for fertilizer types and amounts based on user preference and plant type?</p>,<p>Use a balanced liquid fertilizer like 10-10-10 diluted to half strength every 2-3 weeks during the growing season.&nbsp;&nbsp;</p>,2024-06-18 02:53:10.666,2024-06-18 02:53:10.666
86,64,<p>Recommendation for safe pest control to address plant pest issues?</p>,"<p>Use diatomaceous earth around the base of plants to deter slugs and snails. For aphids, a strong spray of water can dislodge them.&nbsp;</p>",2024-06-18 02:53:10.666,2024-06-18 02:53:10.666
87,64,<p>How often should basil be harvested?&nbsp;How often should basil be harvested?</p>,<p>Basil should be harvested regularly by pinching off leaves to encourage continuous growth and prevent flowering.</p>,2024-06-18 02:53:10.666,2024-06-18 02:53:10.666
88,65,<p>Recommendation for fertilizer types and amounts based on user preference and plant type?</p>,<p>Use a balanced fertilizer high in phosphorus before flowering to promote healthy fruit production in strawberries.</p>,2024-06-18 04:11:31.777,2024-06-18 04:11:31.777
89,65,<p>Recommendation for safe pest control to address plant pest issues?</p>,<p>Use floating row covers to protect strawberries from insects or apply organic insecticides like neem oil for pests such as aphids and spider mites.</p>,2024-06-18 04:11:31.777,2024-06-18 04:11:31.777
90,65,<p>&nbsp;When should strawberry plants be replaced?</p>,<p>Replace strawberry plants every 3-5 years to maintain productivity.</p>,2024-06-18 04:11:31.777,2024-06-18 04:11:31.777
91,65,<p>How to protect strawberries from pests?</p>,<p>Use floating row covers to keep out insects or apply neem oil for pests like aphids and spider mites.&nbsp;&nbsp;</p>,2024-06-18 04:11:31.777,2024-06-18 04:11:31.777
92,66,<p>Recommendation for fertilizer types and amounts based on user preference and plant type?</p>,<p>Use a well-balanced fertilizer during the growing season to support rosemary's aromatic leaf growth without stimulating excessive flowering.</p>,2024-06-18 04:42:09.521,2024-06-18 04:42:09.521
93,66,<p>Recommendation for safe pest control to address plant pest issues?</p>,<p>Use insecticidal soap or neem oil to control pests like spider mites and aphids on rosemary plants.</p>,2024-06-18 04:42:09.521,2024-06-18 04:42:09.521
94,66,<p>&nbsp;What are common pests of rosemary?</p>,<p>Look out for spider mites and aphids. Use insecticidal soap or neem oil to control infestations.</p>,2024-06-18 04:42:09.521,2024-06-18 04:42:09.521
95,66,<p>How to propagate rosemary plants?</p>,<p>Propagate rosemary from cuttings taken in spring or early summer.</p>,2024-06-18 04:42:09.521,2024-06-18 04:42:09.521
96,67,<p>Recommendation for fertilizer types and amounts based on user preference and plant type?</p>,"<p>Apply a balanced fertilizer with equal parts nitrogen, phosphorus, and potassium to support healthy sunflower growth and flowering.</p>",2024-06-18 04:58:57.702,2024-06-18 04:58:57.702
97,67,<p>Recommendation for safe pest control to address plant pest issues?</p>,<p>Protect sunflowers from pests like birds by covering heads with fine mesh netting as seeds mature.</p>,2024-06-18 04:58:57.702,2024-06-18 04:58:57.702
