id,name,description,is_toxic,harvest_duration,sunlight,planting_time,plant_category_id,climate_condition,plant_characteristic_id,created_at,updated_at,additional_tips
<<<<<<< HEAD
61,Rafflesia-Rafflesiaceae,Bunga Langka,1,6,Partsun,Autumn,11,Wet,0,2024-06-17 08:00:05.709,2024-06-22 04:22:57.720,Tipsnya ya gituu
62,Tomato-Solanaceae,"Tomatoes are a warm-season vegetable that grows on vines and produces red, juicy fruits commonly used in cooking and salads,Thanks.",0,3,Fullsun,Spring,1,Dry,0,2024-06-18 02:19:10.655,2024-06-22 11:48:22.353,Support plants with stakes or cages to prevent them from falling over.  Rotate crops each year to avoid soil-borne diseases.  
63,Lavender - Lamiaceae,"Lavender is a fragrant herb known for its aromatic purple flowers and is commonly used in perfumes, sachets, and aromatherapy.",0,6,Fullsun,Summer,7,Dry,0,2024-06-18 02:38:23.623,2024-06-22 11:44:05.142,Mulch around plants to retain moisture and control weeds.  Avoid overhead watering to prevent fungal diseases.  
64,Basil - Lamiaceae,Basil is a popular herb used in many cuisines for its aromatic leaves. It grows well in warm climates and is often found in kitchen gardens.,0,1,Partsun,Spring,5,Wet,0,2024-06-18 02:53:10.666,2024-06-22 11:42:36.847,"Regularly pinch off flower buds to prolong the harvesting period of the leaves.  Basil grows well in pots, making it suitable for small spaces or balconies.  "
65,Strawberry - Rosaceae,"Strawberries are perennial plants known for their sweet, juicy fruits and are often grown in gardens or containers.",0,3,Shade,Spring,1,Dry,0,2024-06-18 04:11:31.777,2024-06-20 09:36:10.435,Provide good air circulation to prevent fungal diseases.Protect plants from birds with netting or scare tactics.
69,Rose - Rosaceae,"Roses are ornamental flowering plants known for their beautiful and fragrant blooms, available in various colors and types.",0,6,Fullsun,Spring,7,Wet,0,2024-06-18 05:33:37.917,2024-06-18 05:33:37.917,Mulch around roses to retain moisture and suppress weeds.Provide support for climbing roses with trellises or stakes.
75,Cucumber - Cucurbitaceae,"Cucumbers are climbing plants known for their refreshing fruits used in salads, pickles, or as snacks. They thrive in the summer season and require ample sunlight.",0,3,Fullsun,Spring,1,Wet,0,2024-06-18 06:04:39.375,2024-06-22 04:06:35.877,"Provide support for climbing plants, such as wires or trellises.Monitor soil moisture and avoid waterlogging to reduce disease risks."
76,Geranium - Geraniaceae,"Geraniums are flowering plants known for their vibrant blooms and attractive foliage, often used in gardens and as ornamental houseplants.",0,3,Partsun,Spring,15,Wet,0,2024-06-18 08:00:50.598,2024-06-22 04:09:49.657,Provide afternoon shade during hot summer months to prevent stress and maintain flower quality.Overwinter geraniums indoors in colder climates or treat as annuals.
77,Orchid - Orchidaceae,Orchids are exotic flowering plants known for their intricate blooms and diverse species found in tropical and subtropical regions worldwide.,0,3,Shade,Spring,15,Dry,0,2024-06-18 08:18:24.765,2024-06-20 18:04:55.058,Provide adequate air circulation around orchids to prevent fungal diseases.Repot orchids every 1-2 years or when the potting medium breaks down.
78,Lemon - Rutaceae,"Lemon trees are citrus plants known for their sour yellow fruits used in culinary dishes, beverages, and as a source of vitamin C.",0,9,Fullsun,Spring,1,Dry,0,2024-06-18 08:35:56.737,2024-06-18 08:35:56.737,Protect young lemon trees from frost by covering them with blankets or using frost cloth.Mulch around the base of the tree to conserve moisture and suppress weeds.
79,Mango Tree - Anacardiaceae,"Mango trees are tropical fruit trees known for their juicy, sweet fruits enjoyed fresh, in salads, or as ingredients in various dishes.",0,12,Fullsun,Spring,1,Dry,0,2024-06-18 09:05:40.900,2024-06-18 09:05:40.900,Protect young mango trees from frost by covering them with blankets or using frost cloth.Mulch around the base of the tree to conserve moisture and suppress weeds.
80,Aloe Vera - Xanthorrhoeaceae,"Aloe Vera is a succulent plant known for its medicinal gel-filled leaves used in skincare, cosmetics, and traditional medicine.",0,12,Fullsun,Summer,2,Dry,0,2024-06-18 09:17:12.628,2024-06-20 08:12:58.051,Aloe Vera thrives indoors near a sunny window but can also be grown outdoors in warm climates.Allow the cut ends of leaves to dry before watering to prevent rot.
81,Alang alang-Imperata cylindrica,Anggap aja Rumput lah,0,1,Fullsun,Summer,15,Dry,0,2024-06-18 10:23:26.436,2024-06-18 10:23:26.436,"itu tumbuhan liar, biarin aja"
85,alang alang-Poaceae,"Alang-alang adalah rumput perennial yang sering ditemukan di daerah tropis dan subtropis. Tumbuhan ini memiliki daun yang panjang, sempit, dan tajam dengan tepi yang kasar. Panjang daun dapat mencapai hingga 1,2 meter. Bunga alang-alang berbentuk bulir dan berwarna putih keperakan, sering kali terlihat mengumpul di bagian atas batang.",0,1,Fullsun,Summer,15,Dry,0,2024-06-18 12:00:40.759,2024-06-18 12:00:40.759,biarkan saja karena akan tumbuh dengan sendirinya
