id,plant_id,question,answer,created_at,updated_at
1,1,How often should I water the tomato plant?,Water the plant twice a day,2024-05-30 00:48:41.989,2024-05-30 00:48:41.989
2,1,How often should I water the tomato plant?,Water the plant twice a day,2024-05-30 00:55:06.825,2024-05-30 00:55:06.811
7,6,Question 1,Answer 1,2024-06-05 12:11:28.567,2024-06-05 12:11:28.567
8,6,Question 2,Answer 2,2024-06-05 12:11:28.567,2024-06-05 12:11:28.567
9,6,Question 3,Answer 3,2024-06-05 12:11:28.567,2024-06-05 12:11:28.567
10,7,Question 1,Answer 1,2024-06-05 12:12:36.369,2024-06-05 12:12:36.369
11,7,Question 2,Answer 2,2024-06-05 12:12:36.369,2024-06-05 12:12:36.369
12,7,Question 3,Answer 3,2024-06-05 12:12:36.369,2024-06-05 12:12:36.369
13,8,Question 1,Answer 1,2024-06-05 12:14:48.399,2024-06-05 12:14:48.399
14,8,Question 2,Answer 2,2024-06-05 12:14:48.399,2024-06-05 12:14:48.399
15,8,Question 3,Answer 3,2024-06-05 12:14:48.399,2024-06-05 12:14:48.399
16,9,Question 1,Answer 1,2024-06-05 12:15:30.864,2024-06-05 12:15:30.864
17,9,Question 2,Answer 2,2024-06-05 12:15:30.864,2024-06-05 12:15:30.864
18,9,Question 3,Answer 3,2024-06-05 12:15:30.864,2024-06-05 12:15:30.864
19,12,Question 1,Answer 1,2024-06-05 14:12:11.057,2024-06-05 14:12:11.057
20,12,Question 2,Answer 2,2024-06-05 14:12:11.057,2024-06-05 14:12:11.057
21,12,Question 3,Answer 3,2024-06-05 14:12:11.057,2024-06-05 14:12:11.057
22,13,Question 1,Answer 1,2024-06-06 04:17:18.703,2024-06-06 04:17:18.703
23,13,Question 2,Answer 2,2024-06-06 04:17:18.703,2024-06-06 04:17:18.703
24,13,Question 3,Answer 3,2024-06-06 04:17:18.703,2024-06-06 04:17:18.703
