id,plant_id,step_number,step_title,step_description,step_image_url,additional_tips,created_at,updated_at,instruction_category_id
11,6,1,Instruction 1,Description of Instruction 1,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1717589486/be-agriculture/wqpwpnli8ap1btyy0v7j.png,Add tips of Instruction 1,2024-06-05 12:11:28.567,2024-06-05 12:11:28.567,1
12,6,2,Instruction 2,Description of Instruction 2,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1717589487/be-agriculture/pnehlosfz4ox08dz9gfx.png,Add tips of Instruction 2,2024-06-05 12:11:28.567,2024-06-05 12:11:28.567,2
13,7,1,Instruction 1,Description of Instruction 1,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1717589554/be-agriculture/a6stxcollaikjez8dlji.png,Add tips of Instruction 1,2024-06-05 12:12:36.369,2024-06-05 12:12:36.369,1
14,7,2,Instruction 2,Description of Instruction 2,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1717589554/be-agriculture/gdx88ifnxtkwubuvkf9l.png,Add tips of Instruction 2,2024-06-05 12:12:36.369,2024-06-05 12:12:36.369,2
15,8,1,Instruction 1,Description of Instruction 1,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1717589686/be-agriculture/tb6dnwmih8yaj7ityhzk.png,Add tips of Instruction 1,2024-06-05 12:14:48.399,2024-06-05 12:14:48.399,1
16,8,2,Instruction 2,Description of Instruction 2,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1717589686/be-agriculture/yv0t5g75ffhzndvdi9gv.png,Add tips of Instruction 2,2024-06-05 12:14:48.399,2024-06-05 12:14:48.399,2
17,9,1,Instruction 1,Description of Instruction 1,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1717589728/be-agriculture/eajns0ennfduojwqvofn.png,Add tips of Instruction 1,2024-06-05 12:15:30.864,2024-06-05 12:15:30.864,1
18,9,2,Instruction 2,Description of Instruction 2,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1717589729/be-agriculture/x4ekhivfey03y6lmluhy.png,Add tips of Instruction 2,2024-06-05 12:15:30.864,2024-06-05 12:15:30.864,2
19,12,1,Instruction 1,Description of Instruction 1,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1717596727/be-agriculture/vsh4x7yazj4uzxtzwrl4.png,Add tips of Instruction 1,2024-06-05 14:12:11.057,2024-06-05 14:12:11.057,1
20,12,2,Instruction 2,Description of Instruction 2,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1717596728/be-agriculture/yl6csmoodj48qcqw3mic.png,Add tips of Instruction 2,2024-06-05 14:12:11.057,2024-06-05 14:12:11.057,2
21,13,1,Instruction 1,Description of Instruction 1,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1717647435/be-agriculture/idigjd0teicppcjrnqoo.png,Add tips of Instruction 1,2024-06-06 04:17:18.703,2024-06-06 04:17:18.703,1
22,13,2,Instruction 2,Description of Instruction 2,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1717647436/be-agriculture/l78vzsa0jsckiwvvenhr.png,Add tips of Instruction 2,2024-06-06 04:17:18.703,2024-06-06 04:17:18.703,2
