id,name,image_url,created_at,updated_at
1,Fruits,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718333516/be-agriculture/b3daes3zib4wexoun3bc.png,2024-05-30,2024-06-14
2,Succulents,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718333609/be-agriculture/kkg8wwp0fyhezmccjbmk.png,2023-05-28,2024-06-14
4,Angiosperms,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718333630/be-agriculture/rnbsbch89mojruvivjb3.png,2023-05-28,2024-06-14
5,Herbs,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718333658/be-agriculture/tgqf8oghb5opoeqwtj3m.png,2023-05-28,2024-06-14
7,Shrubs,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718333690/be-agriculture/bugqhgaocenk4cxpp4p0.png,2023-05-28,2024-06-14
8,Ferns,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718333720/be-agriculture/c3il6oo50qpalbnsrdzy.png,2024-06-07,2024-06-14
9,Trees,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718333774/be-agriculture/b9i2iwfoseqd7pi2laxu.png,2024-06-07,2024-06-14
10,Climbers,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718333823/be-agriculture/wkcz53wtbkxdxp6y3qxq.png,2024-06-14,2024-06-14
11,Conifers,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718333840/be-agriculture/dpfga4bsuql07bc9iju2.png,2024-06-14,2024-06-14
12,Annual,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718333853/be-agriculture/m2lkm1zujvdjlb8ofolk.png,2024-06-14,2024-06-14
13,Biennals,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718333865/be-agriculture/ynphki5ibnla71pjgozu.png,2024-06-14,2024-06-14
14,Bryophytes,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718333876/be-agriculture/jwzfx9zyiu3uso88jdgq.png,2024-06-14,2024-06-14
15,Perennials,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718333888/be-agriculture/vrotitbseylihxajod6d.png,2024-06-14,2024-06-14
