id,plant_id,question,answer,created_at,updated_at
76,61,Mau tanya apa,Ya gatauu?,2024-06-17 08:00:05.709,2024-06-17 08:00:05.709
77,62,Recommendation for fertilizer types and amounts based on user preference and plant type?,Use a balanced 10-10-10 fertilizer at planting time and switch to a low-nitrogen fertilizer (5-10-10) once fruits begin to form.  ,2024-06-18 02:19:10.655,2024-06-18 02:19:10.655
78,62,Recommendation for safe pest control to address plant pest issues?,Use neem oil or insecticidal soap to manage common pests like aphids and whiteflies.  ,2024-06-18 02:19:10.655,2024-06-18 02:19:10.655
79,62,How to improve tomato flavor?,"Provide ample sunlight, avoid over-fertilization with nitrogen, and allow tomatoes to fully ripen on the vine.",2024-06-18 02:19:10.655,2024-06-18 02:19:10.655
80,62,How to prevent blossom end rot in tomatoes?,Blossom end rot is caused by calcium deficiency or inconsistent watering. Ensure soil calcium levels are adequate and maintain even moisture levels.,2024-06-18 02:19:10.655,2024-06-18 02:19:10.655
81,63,Recommendation for fertilizer types and amounts based on user preference and plant type?,"Use a slow-release fertilizer with a higher ratio of phosphorus (e.g., 5-10-5) to encourage blooming.  ",2024-06-18 02:38:23.623,2024-06-18 02:38:23.623
82,63,Recommendation for safe pest control to address plant pest issues?,Introduce beneficial insects like ladybugs to control aphids. Use horticultural oil for scale insects.  ,2024-06-18 02:38:23.623,2024-06-18 02:38:23.623
83,63,Can lavender be grown indoors?,Lavender can be grown indoors in containers with adequate sunlight and well draining soil.,2024-06-18 02:38:23.623,2024-06-18 02:38:23.623
84,63,How often should lavender be pruned?,Lavender should be lightly pruned after flowering to maintain shape and promote new growth.,2024-06-18 02:38:23.623,2024-06-18 02:38:23.623
85,64,Recommendation for fertilizer types and amounts based on user preference and plant type?,Use a balanced liquid fertilizer like 10-10-10 diluted to half strength every 2-3 weeks during the growing season.  ,2024-06-18 02:53:10.666,2024-06-18 02:53:10.666
86,64,Recommendation for safe pest control to address plant pest issues?,"Use diatomaceous earth around the base of plants to deter slugs and snails. For aphids, a strong spray of water can dislodge them. ",2024-06-18 02:53:10.666,2024-06-18 02:53:10.666
87,64,How often should basil be harvested? How often should basil be harvested?,Basil should be harvested regularly by pinching off leaves to encourage continuous growth and prevent flowering.,2024-06-18 02:53:10.666,2024-06-18 02:53:10.666
88,65,Recommendation for fertilizer types and amounts based on user preference and plant type?,Use a balanced fertilizer high in phosphorus before flowering to promote healthy fruit production in strawberries.,2024-06-18 04:11:31.777,2024-06-18 04:11:31.777
89,65,Recommendation for safe pest control to address plant pest issues?,Use floating row covers to protect strawberries from insects or apply organic insecticides like neem oil for pests such as aphids and spider mites.,2024-06-18 04:11:31.777,2024-06-18 04:11:31.777
90,65, When should strawberry plants be replaced?,Replace strawberry plants every 3-5 years to maintain productivity.,2024-06-18 04:11:31.777,2024-06-18 04:11:31.777
91,65,How to protect strawberries from pests?,Use floating row covers to keep out insects or apply neem oil for pests like aphids and spider mites.  ,2024-06-18 04:11:31.777,2024-06-18 04:11:31.777
92,66,Recommendation for fertilizer types and amounts based on user preference and plant type?,Use a well-balanced fertilizer during the growing season to support rosemary's aromatic leaf growth without stimulating excessive flowering.,2024-06-18 04:42:09.521,2024-06-18 04:42:09.521
93,66,Recommendation for safe pest control to address plant pest issues?,Use insecticidal soap or neem oil to control pests like spider mites and aphids on rosemary plants.,2024-06-18 04:42:09.521,2024-06-18 04:42:09.521
94,66, What are common pests of rosemary?,Look out for spider mites and aphids. Use insecticidal soap or neem oil to control infestations.,2024-06-18 04:42:09.521,2024-06-18 04:42:09.521
95,66,How to propagate rosemary plants?,Propagate rosemary from cuttings taken in spring or early summer.,2024-06-18 04:42:09.521,2024-06-18 04:42:09.521
96,67,Recommendation for fertilizer types and amounts based on user preference and plant type?,"Apply a balanced fertilizer with equal parts nitrogen, phosphorus, and potassium to support healthy sunflower growth and flowering.",2024-06-18 04:58:57.702,2024-06-18 04:58:57.702
97,67,Recommendation for safe pest control to address plant pest issues?,Protect sunflowers from pests like birds by covering heads with fine mesh netting as seeds mature.,2024-06-18 04:58:57.702,2024-06-18 04:58:57.702
98,67,When is the best time to harvest sunflower seeds for eating?,Wait until the back of the sunflower head turns yellow and seeds are plump and firm.,2024-06-18 04:58:57.702,2024-06-18 04:58:57.702
99,67,How to deter birds from eating sunflower seeds?,Cover sunflower heads with fine mesh netting as seeds mature.,2024-06-18 04:58:57.702,2024-06-18 04:58:57.702
100,68,Recommendation for fertilizer types and amounts based on user preference and plant type?,Apply a nitrogen-rich fertilizer every 4-6 weeks during the growing season to promote vigorous growth and strong aroma in peppermint.,2024-06-18 05:14:53.014,2024-06-18 05:14:53.014
101,68,Recommendation for safe pest control to address plant pest issues?,Use organic insecticides or neem oil to control pests like aphids and spider mites on peppermint.,2024-06-18 05:14:53.014,2024-06-18 05:14:53.014
102,68,What are common pests and diseases of peppermint?,Look out for aphids and spider mites. Use insecticidal soap or neem oil to control pests.,2024-06-18 05:14:53.014,2024-06-18 05:14:53.014
103,68,How to prevent peppermint from spreading uncontrollably?,Plant peppermint in containers or bury barriers around the plant to prevent rhizome spread.,2024-06-18 05:14:53.014,2024-06-18 05:14:53.014
104,69,Recommendation for fertilizer types and amounts based on user preference and plant type?,Apply a rose-specific fertilizer with balanced nutrients and additional micronutrients to promote healthy blooms and foliage in roses.,2024-06-18 05:33:37.917,2024-06-18 05:33:37.917
105,69,Recommendation for safe pest control to address plant pest issues?,Use organic sprays like insecticidal soap or horticultural oil to control pests such as aphids and mites on rose plants.,2024-06-18 05:33:37.917,2024-06-18 05:33:37.917
106,69,How to prevent black spot on roses?,Ensure good air circulation around plants. Apply fungicidal spray early in the season.,2024-06-18 05:33:37.917,2024-06-18 05:33:37.917
107,75,What type of fertilizer is recommended for cucumber plants?,Use nitrogen-rich fertilizer to promote healthy vegetative growth in cucumber plants.,2024-06-18 06:04:39.375,2024-06-18 06:04:39.375
108,75,Recommendation for fertilizer types and amounts based on user preference and plant type?,Use a balanced fertilizer with higher nitrogen content to support vigorous vine growth and fruit development in cucumbers.,2024-06-18 06:04:39.375,2024-06-18 06:04:39.375
109,75,Recommendation for safe pest control to address plant pest issues?,Use floating row covers to protect cucumbers from pests like cucumber beetles or apply diatomaceous earth as a natural pest deterrent.,2024-06-18 06:04:39.375,2024-06-18 06:04:39.375
110,75,How to deal with pests on cucumber plants?,What type of fertilizer is recommended for cucumber plants?,2024-06-18 06:04:39.375,2024-06-18 06:04:39.375
111,76,What are the recommendations for fertilizer types and amounts based on user preference and plant type?,"Apply a balanced, water-soluble fertilizer every 4-6 weeks during the growing season.",2024-06-18 08:00:50.598,2024-06-18 08:00:50.598
112,76,What are the recommendations for safe pest control to address pest issues?,Use organic insecticidal soap or neem oil to manage common pests like aphids and spider mites.,2024-06-18 08:00:50.598,2024-06-18 08:00:50.598
113,76,What are common diseases that affect geraniums?,Watch for diseases like powdery mildew; ensure good air circulation and avoid overhead watering.,2024-06-18 08:00:50.598,2024-06-18 08:00:50.598
114,76,How do I propagate geraniums effectively?,Propagate geraniums from stem cuttings in early summer or by division of mature plants.,2024-06-18 08:00:50.598,2024-06-18 08:00:50.598
115,77,How do I ensure my orchids thrive in low-humidity environments?,"Use a humidity tray or room humidifier, and mist the orchids regularly to maintain adequate humidity.",2024-06-18 08:18:24.765,2024-06-18 08:18:24.765
116,77,What are the recommendations for fertilizer types and amounts based on user preference and plant type?,"Use a balanced orchid fertilizer every 2 weeks during active growth, reducing to monthly during dormancy.",2024-06-18 08:18:24.765,2024-06-18 08:18:24.765
117,77,What are the recommendations for safe pest control to address pest issues?,Use insecticidal soap or rubbing alcohol on a cotton swab to treat pests like mealybugs and scale.,2024-06-18 08:18:24.765,2024-06-18 08:18:24.765
118,77,Can orchids be grown indoors successfully?,"Yes, orchids thrive indoors with bright, indirect light and consistent care. Monitor humidity levels and air circulation.",2024-06-18 08:18:24.765,2024-06-18 08:18:24.765
119,77, How do I encourage orchids to bloom more frequently?,"Ensure orchids receive proper light, temperature, and humidity conditions. Use a bloom booster fertilizer during the flowering season.",2024-06-18 08:18:24.765,2024-06-18 08:18:24.765
120,78,What are the recommendations for fertilizer types and amounts based on user preference and plant type?,Apply a citrus-specific fertilizer every 6 weeks from spring through fall.,2024-06-18 08:35:56.737,2024-06-18 08:35:56.737
121,78,What are the recommendations for safe pest control to address pest issues?,"Use horticultural oil or neem oil to control pests like aphids, scale, and spider mites.",2024-06-18 08:35:56.737,2024-06-18 08:35:56.737
122,78,When is the best time to prune lemon trees for fruit production?,Prune lemon trees lightly after harvesting fruit and more significantly in late winter before new growth begins.,2024-06-18 08:35:56.737,2024-06-18 08:35:56.737
123,78,How do I protect lemon trees from pests and diseases?,Monitor for pests like aphids and scale insects; treat with neem oil or insecticidal soap as needed.,2024-06-18 08:35:56.737,2024-06-18 08:35:56.737
124,79,What are the recommendations for fertilizer types and amounts based on user preference and plant type?,"Use a balanced fertilizer with a 6-6-6 or 8-3-9 ratio, applying it three times a year (spring, summer, and fall).",2024-06-18 09:05:40.900,2024-06-18 09:05:40.900
125,79,What are the recommendations for safe pest control to address pest issues?,Use neem oil or insecticidal soap to manage pests like aphids and mealybugs.,2024-06-18 09:05:40.900,2024-06-18 09:05:40.900
126,79,When is the best time to prune mango trees for fruit production?,Prune mango trees lightly after harvesting fruit and more significantly in late winter before new growth begins.,2024-06-18 09:05:40.900,2024-06-18 09:05:40.900
