id,plant_id,step_number,step_title,step_description,step_image_url,additional_tips,created_at,updated_at,instruction_category_id
381,94,1,Preparing the Soil,Choose well-draining soil with added compost for fertility. ,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718871080/be-agriculture/ytxihbusipj0tftmgmf0.png,-,2024-06-20 08:11:24.175,2024-06-20 08:11:24.175,1
382,94,2,Planting Sunflowers Seeds,Directly sow sunflower seeds outdoors after the last frost date. Plant seeds 1 inch deep and 6 inches apart.  ,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718871081/be-agriculture/mrueymxvvqh7gee5cjmz.png,-,2024-06-20 08:11:24.175,2024-06-20 08:11:24.175,2
383,94,3,Sunflower Plant care,"Water deeply once a week, ensuring soil stays moist but not waterlogged.  Stake tall varieties to prevent wind damage.",https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718871082/be-agriculture/errcqf2huweqplkvismb.png,-,2024-06-20 08:11:24.175,2024-06-20 08:11:24.175,3
384,94,4,Harvesting Sunflowers,Harvest sunflower heads when petals wilt and seeds begin to develop. Cut stems with sharp pruners or scissors.,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718871083/be-agriculture/ceh7bv0uzsl7p8jo5hl9.png,-,2024-06-20 08:11:24.175,2024-06-20 08:11:24.175,4
389,86,1,Preparing the Soil,Use fertile soil with good drainage. Incorporate compost to improve soil fertility.,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718871431/be-agriculture/ec0ownu3kzvhamk2mxlm.jpg,-,2024-06-20 08:17:12.036,2024-06-20 08:17:12.036,1
406,165,1,Preparing the Soil,"Plant cacti in well-draining soil, such as a cactus mix or sandy soil with perlite.",https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718905103/be-agriculture/c2rwgp9xregxs2fesroc.png,-,2024-06-20 17:38:27.218,2024-06-20 17:38:27.218,1
407,165,2,Planting Seeds,"Choose a sunny location with good air circulation. Plant cactus seeds in well-draining soil mix, barely covering them with a light layer of soil.",https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718905104/be-agriculture/t0jskiogihuquzqyygzs.png,-,2024-06-20 17:38:27.218,2024-06-20 17:38:27.218,2
408,165,3,Cactus Care,"Water sparingly, allowing the soil to dry out completely between waterings.Use a diluted cactus fertilizer once or twice during the growing season.",https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718905105/be-agriculture/pf7ikq9izvnwkz7ch1sr.png,-,2024-06-20 17:38:27.218,2024-06-20 17:38:27.218,3
409,165,4,Harvesting Fruit, Harvest cactus fruits or flowers when they are fully developed and vibrant.,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718905105/be-agriculture/slmv03ia8xepovsqydkd.png,-,2024-06-20 17:38:27.218,2024-06-20 17:38:27.218,4
410,77,1,Preparating the Soil, Plant orchids in a well-draining orchid mix or bark chips to mimic their natural epiphytic growing conditions.,https://res.cloudinary.com/dxrz0cg5z/image/upload/v1718906690/be-agriculture/lla5eepeol70oaqzxepc.png,-,2024-06-20 18:04:55.053,2024-06-20 18:04:55.053,1
