id,plant_id,user_id,created_at,updated_at
8,61,14,2024-06-19 10:29:26.651,2024-06-19 10:29:26.651
10,81,14,2024-06-21 22:00:50.737,2024-06-21 22:00:50.737
11,85,14,2024-06-21 22:05:20.790,2024-06-21 22:05:20.790
12,87,14,2024-06-21 22:06:03.199,2024-06-21 22:06:03.199
13,81,14,2024-06-22 13:55:05.595,2024-06-22 13:55:05.595
14,81,14,2024-06-22 13:55:19.295,2024-06-22 13:55:19.295
15,63,33,2024-06-22 14:06:41.100,2024-06-22 14:06:41.100
16,63,14,2024-06-22 14:08:00.708,2024-06-22 14:08:00.708
17,63,14,2024-06-22 14:10:04.095,2024-06-22 14:10:04.095
18,81,14,2024-06-22 14:10:12.371,2024-06-22 14:10:12.371
19,63,33,2024-06-22 14:11:57.099,2024-06-22 14:11:57.099
20,63,33,2024-06-22 14:17:20.217,2024-06-22 14:17:20.217
22,134,3,2024-06-22 15:11:07.342,2024-06-22 15:11:07.342
24,63,14,2024-06-22 15:48:23.539,2024-06-22 15:48:23.539
25,63,14,2024-06-22 15:50:37.583,2024-06-22 15:50:37.583
26,63,14,2024-06-22 15:51:52.184,2024-06-22 15:51:52.184
27,63,14,2024-06-22 15:52:24.383,2024-06-22 15:52:24.383
28,63,14,2024-06-22 15:53:21.663,2024-06-22 15:53:21.663
29,63,14,2024-06-22 15:57:40.550,2024-06-22 15:57:40.550
30,64,14,2024-06-22 15:57:48.052,2024-06-22 15:57:48.052
31,64,14,2024-06-22 16:01:24.800,2024-06-22 16:01:24.800
32,134,3,2024-06-22 16:03:11.373,2024-06-22 16:03:11.373
33,81,14,2024-06-22 16:05:54.014,2024-06-22 16:05:54.014
34,64,14,2024-06-22 16:07:04.399,2024-06-22 16:07:04.399
35,81,14,2024-06-22 16:08:56.659,2024-06-22 16:08:56.659
36,64,14,2024-06-22 16:09:04.313,2024-06-22 16:09:04.313
37,63,33,2024-06-22 16:47:40.946,2024-06-22 16:47:40.946
38,63,14,2024-06-22 20:46:18.267,2024-06-22 20:46:18.267
39,64,14,2024-06-22 20:52:27.183,2024-06-22 20:52:27.183
40,77,3,2024-06-23 02:40:04.887,2024-06-23 02:40:04.887
41,80,38,2024-06-23 03:38:16.430,2024-06-23 03:38:16.430
42,80,38,2024-06-23 05:00:21.933,2024-06-23 05:00:21.933
43,86,38,2024-06-23 05:00:25.834,2024-06-23 05:00:25.834
44,64,14,2024-06-23 05:40:55.471,2024-06-23 05:40:55.471
46,63,33,2024-06-23 06:40:01.873,2024-06-23 06:40:01.873
47,86,38,2024-06-23 06:40:26.825,2024-06-23 06:40:26.825
49,108,3,2024-06-23 06:59:13.251,2024-06-23 06:59:13.251
50,108,3,2024-06-23 07:01:02.881,2024-06-23 07:01:02.881
51,63,14,2024-06-23 08:48:57.474,2024-06-23 08:48:57.474
52,85,14,2024-06-23 08:49:11.567,2024-06-23 08:49:11.567
53,63,33,2024-06-23 09:24:27.613,2024-06-23 09:24:27.613
54,85,14,2024-06-23 09:25:57.085,2024-06-23 09:25:57.085
56,63,33,2024-06-23 09:30:23.198,2024-06-23 09:30:23.198
57,64,33,2024-06-23 09:39:51.527,2024-06-23 09:39:51.527
58,64,33,2024-06-23 09:52:48.570,2024-06-23 09:52:48.570
59,108,33,2024-06-23 09:53:29.910,2024-06-23 09:53:29.910
60,134,33,2024-06-23 09:58:22.254,2024-06-23 09:58:22.254
61,75,33,2024-06-23 09:58:48.227,2024-06-23 09:58:48.227
63,75,33,2024-06-23 11:29:41.413,2024-06-23 11:29:41.413
64,77,33,2024-06-23 11:30:03.851,2024-06-23 11:30:03.851
65,80,33,2024-06-23 11:33:50.115,2024-06-23 11:33:50.115
66,93,33,2024-06-23 11:35:25.580,2024-06-23 11:35:25.580
67,80,33,2024-06-23 11:35:33.017,2024-06-23 11:35:33.017
68,77,33,2024-06-23 11:35:39.720,2024-06-23 11:35:39.720
69,86,33,2024-06-23 11:35:46.192,2024-06-23 11:35:46.192
70,86,33,2024-06-23 11:35:52.136,2024-06-23 11:35:52.136
71,86,33,2024-06-23 11:35:57.184,2024-06-23 11:35:57.184
72,86,33,2024-06-23 11:36:03.091,2024-06-23 11:36:03.091
73,108,33,2024-06-23 11:36:08.470,2024-06-23 11:36:08.470
74,108,33,2024-06-23 11:36:15.180,2024-06-23 11:36:15.180
75,108,33,2024-06-23 11:36:19.992,2024-06-23 11:36:19.992
77,108,14,2024-06-23 13:01:30.639,2024-06-23 13:01:30.639
78,108,3,2024-06-23 14:47:28.339,2024-06-23 14:47:28.339
80,81,14,2024-06-23 17:17:29.573,2024-06-23 17:17:29.573
81,63,14,2024-06-23 17:18:00.289,2024-06-23 17:18:00.289
82,81,14,2024-06-23 17:45:44.833,2024-06-23 17:45:44.833
