plant_id,plant_name,description,is_toxic,harvest_duration,sunlight,planting_time,plant_category,climate_condition,additional_tips,created_at,updated_at
61,Rafflesia-Rafflesiaceae,Bunga Langka,1,6,Partsun,Autumn,Conifers,Wet,Tipsnya ya gituu,2024-06-18 19:18:43.466929,2024-06-18 19:18:43.468420
62,Tomato-Solanaceae,"Tomatoes are a warm-season vegetable that grows on vines and produces red, juicy fruits commonly used in cooking and salads.",0,3,Fullsun,Spring,Fruits,Dry,Support plants with stakes or cages to prevent them from falling over.  Rotate crops each year to avoid soil-borne diseases.  ,2024-06-18 19:18:43.466929,2024-06-18 19:18:43.468420
63,Lavender - Lamiaceae,"Lavender is a fragrant herb known for its aromatic purple flowers and is commonly used in perfumes, sachets, and aromatherapy.",0,6,Fullsun,Summer,Shrubs,Dry,Mulch around plants to retain moisture and control weeds.  Avoid overhead watering to prevent fungal diseases.  ,2024-06-18 19:18:43.466929,2024-06-18 19:18:43.468420
64,Basil - Lamiaceae,Basil is a popular herb used in many cuisines for its aromatic leaves. It grows well in warm climates and is often found in kitchen gardens.,0,1,Partsun,Spring,Herbs,Wet,"Regularly pinch off flower buds to prolong the harvesting period of the leaves.  Basil grows well in pots, making it suitable for small spaces or balconies.  ",2024-06-18 19:18:43.466929,2024-06-18 19:18:43.468420
65,Strawberry - Rosaceae,"Strawberries are perennial plants known for their sweet, juicy fruits and are often grown in gardens or containers.",0,3,Shade,Spring,Fruits,Dry,Provide good air circulation to prevent fungal diseases.Protect plants from birds with netting or scare tactics.,2024-06-18 19:18:43.466929,2024-06-18 19:18:43.468420
66,Rosemary - Lamiaceae,"Rosemary is an aromatic herb with needle-like leaves and blue flowers, commonly used in culinary and medicinal applications.",0,1,Fullsun,Spring,Herbs,Dry,Protect from frost in colder climates or bring indoors during winter.Use well-draining containers for indoor rosemary to prevent root rot.,2024-06-18 19:18:43.466929,2024-06-18 19:18:43.468420
67,Sunflower - Asteraceae,"Sunflowers are tall flowering plants with large, daisy-like flower heads that track the sun. They are grown for their seeds and as ornamental plants.",0,3,Fullsun,Spring,Annual,Dry,Deadhead spent flowers to encourage continuous blooming.Protect young sunflower plants from slugs and snails.,2024-06-18 19:18:43.466929,2024-06-18 19:18:43.468420
68,Peppermint - Lamiaceae,"Peppermint is a hybrid mint known for its strong menthol flavor and fragrance. It is widely used in culinary dishes, teas, and medicinal applications.",0,3,Partsun,Spring,Herbs,Wet,Divide peppermint plants every 2-3 years to prevent overcrowding.Prune regularly to encourage bushy growth and prevent flowering.,2024-06-18 19:18:43.466929,2024-06-18 19:18:43.468420
69,Rose - Rosaceae,"Roses are ornamental flowering plants known for their beautiful and fragrant blooms, available in various colors and types.",0,6,Fullsun,Spring,Shrubs,Wet,Mulch around roses to retain moisture and suppress weeds.Provide support for climbing roses with trellises or stakes.,2024-06-18 19:18:43.466929,2024-06-18 19:18:43.468420
75,Cucumber - Cucurbitaceae,"Cucumbers are climbing plants known for their refreshing fruits used in salads, pickles, or as snacks. They thrive in the summer season and require ample sunlight.",0,3,Fullsun,Spring,Fruits,Wet,"Provide support for climbing plants, such as wires or trellises.Monitor soil moisture and avoid waterlogging to reduce disease risks.",2024-06-18 19:18:43.466929,2024-06-18 19:18:43.468420
